,Video_id,Video_Channel_title,Stats_Comment,Stats_Fav,Stats_Like,Stats_view
32,Q-h7tlipwVs,Technical Guruji,826,0,9476,102644
33,bECf28fnmk4,Technical Guruji,1080,0,19433,412352
34,d7H6E2allLU,Technical Guruji,1145,0,10846,113901
35,BtuFVM4eHnA,Technical Guruji,895,0,12084,123075
36,Z1o2-Tlsd18,Technical Guruji,903,0,8459,98398
37,yWEOcqZmKNc,Technical Guruji,1160,0,10338,111832
38,4ObaIvt6wLI,Technical Guruji,1278,0,29937,439929
39,Rtns904PODg,Technical Guruji,1053,0,9554,109608
40,_xzA-_L0zK4,Technical Guruji,5019,0,146993,2213878
41,_yExZOYWq9U,Technical Guruji,620,0,9098,107630
42,3IMtX8XKqRM,Technical Guruji,1099,0,18703,198345
43,Ty9L59oxZhg,Technical Guruji,1294,0,8896,84700
44,cEsQ9XfaWqk,Technical Guruji,1197,0,20410,413381
45,DPwsnwukB4E,Technical Guruji,1183,0,9393,94562
46,sBfiDjM7O2o,Technical Guruji,2671,0,44105,570437
47,R45-UP6GKfw,Technical Guruji,956,0,10124,116919
48,JvLbJvrlTsA,Technical Guruji,1113,0,17522,296985
49,mkscKA88ns0,Technical Guruji,794,0,6681,74937
0,rHKxij0f9nI,Technical Guruji,761,0,8842,98145
1,H2UYHU-yXoE,Technical Guruji,875,0,11201,113076
2,sRYURxW5qJ8,Technical Guruji,890,0,9151,97622
3,TF0JNTdWx1M,Technical Guruji,3531,0,18141,227935
4,fv8Nkb3wV1M,Technical Guruji,784,0,8844,92800
5,aQcVkhQiYLE,Technical Guruji,2275,0,21914,232742
6,3YdLX8-hvKg,Technical Guruji,989,0,10330,113329
7,Vh_RAMAjieE,Technical Guruji,1084,0,19755,362807
8,WspU8al4tXM,Technical Guruji,645,0,9098,96753
9,tOpYajFAFzQ,Technical Guruji,794,0,10295,132094
10,B7vhhFVCJYg,Technical Guruji,1103,0,11686,115068
11,mrSVDQYMK8Q,Technical Guruji,3668,0,33840,516454
12,iBoH0tBmLNU,Technical Guruji,914,0,9182,112991
13,mEwD9oR0xKU,Technical Guruji,4262,0,83070,1350899
